['UV', 83, 'CV', 105, 'addr2line', 'pwd', 'V0', 'V3', 0.8695692109855792, 0.9897873401641846]
['BV', 6, 'CV', 58, 'libvlc.so', 'readlink', 'V0', 'V2', 0.7004425809457256, 0.2765011787414551]
['CV', 140, 'BV', 80, 'tty', 'cluster', 'V3', 'V1', 0.6566265060240963, 0.14216876029968262]
['CV', 114, 'BV', 24, 'expr', 'git', 'V3', 'V0', 0.9531300506410947, 5.355319261550903]
['CV', 47, 'UV', 53, 'od', 'readelf', 'V2', 'V1', 0.547938144329897, 0.13170909881591797]
['CV', 16, 'BV', 13, 'dd', 'cp', 'V2', 'V2', 0.2802973977695167, 0.09575533866882324]
['BV', 76, 'CV', 153, 'diff', 'link', 'V2', 'V3', 0.5805880269217145, 0.09296131134033203]
['CV', 271, 'BV', 52, 'ptx', 'libSDL2-2.0.so', 'V1', 'V2', 0.8705388383484954, 5.961719989776611]
['CV', 291, 'BV', 49, 'pinky', 'make', 'V1', 'V3', 0.7867619405791652, 0.2944793701171875]
['CV', 40, 'BV', 75, 'ls', 'cmp', 'V2', 'V2', 0.36566849430619985, 0.0890200138092041]
['BV', 42, 'CV', 263, 'libvlc.so', 'unlink', 'V1', 'V1', 0.8379108509680324, 0.26039814949035645]
['UV', 36, 'CV', 23, 'objdump', 'wc', 'V3', 'V2', 0.9206624971044707, 2.131239175796509]
['BV', 42, 'CV', 224, 'libvlc.so', 'cksum', 'V1', 'V0', 0.8346067415730337, 0.25966954231262207]
['BV', 14, 'CV', 130, 'openssl', 'chmod', 'V3', 'V3', 0.8879262299234939, 6.9531590938568115]
['CV', 345, 'UV', 36, 'rmdir', 'objdump', 'V1', 'V3', 0.955081348738505, 2.2363364696502686]
['BV', 23, 'CV', 228, 'diff', 'false', 'V3', 'V0', 0.7511627906976744, 0.07991838455200195]
['BV', 55, 'CV', 319, 'codeblocks', 'readlink', 'V3', 'V1', 0.9776097930998404, 13.063140869140625]
['BV', 66, 'CV', 280, 'lua', 'pr', 'V1', 'V1', 0.770839469808542, 0.3838531970977783]
['CV', 15, 'UV', 25, 'uptime', 'as', 'V2', 'V3', 0.9256958822176213, 2.315200090408325]
['BV', 58, 'CV', 237, 'ruby', 'mv', 'V3', 'V0', 0.8674351585014409, 0.031050443649291992]
['CV', 191, 'BV', 9, 'mkfifo', 'dot', 'V0', 'V2', 0.3080724876441516, 0.010741949081420898]
['CV', 318, 'BV', 66, 'who', 'lua', 'V1', 'V1', 0.8259681093394078, 0.41800999641418457]
['CV', 326, 'UV', 2, 'env', 'find', 'V1', 'V2', 0.8099238645313731, 0.18212413787841797]
['CV', 54, 'UV', 85, 'false', 'elfedit', 'V2', 'V0', 0.2553956834532374, 0.023530244827270508]
['CV', 256, 'BV', 59, 'sort', 'make', 'V0', 'V1', 0.6543441546256333, 0.296097993850708]
['UV', 39, 'CV', 13, 'find', 'join', 'V3', 'V2', 0.7353510469822278, 0.35603833198547363]
['BV', 26, 'CV', 295, 'geany', 'echo', 'V2', 'V1', 0.9865127055587997, 25.472689867019653]
['CV', 345, 'UV', 1, 'rmdir', 'xargs', 'V1', 'V2', 0.5398550724637681, 0.04447007179260254]
['CV', 307, 'UV', 59, 'cut', 'ld', 'V1', 'V1', 0.9380607103355045, 2.0730180740356445]
['BV', 59, 'CV', 230, 'make', 'yes', 'V1', 'V0', 0.854438367690366, 0.19682025909423828]
['UV', 80, 'BV', 35, 'objcopy', 'libvlccore.so', 'V0', 'V2', 0.2352537518274309, 13.927546977996826]
['BV', 77, 'CV', 82, 'perl', 'sort', 'V2', 'V2', 0.8993619763019769, 3.186084508895874]
['CV', 149, 'BV', 66, 'unexpand', 'lua', 'V3', 'V1', 0.7888475836431227, 0.43712282180786133]
['UV', 2, 'CV', 287, 'find', 'date', 'V2', 'V1', 0.685986793837124, 0.197523832321167]
['UV', 55, 'CV', 181, 'ranlib', 'dir', 'V1', 'V0', 0.7965887555274794, 1.4376633167266846]
['UV', 4, 'CV', 104, 'cmp', 'mkfifo', 'V2', 'V3', 0.17561683599419453, 0.03243756294250488]
['BV', 18, 'CV', 54, 'sort', 'false', 'V3', 'V2', 0.6623781676413255, 0.0827181339263916]
['BV', 79, 'CV', 126, 'bash', 'whoami', 'V3', 'V3', 0.9498327759197325, 3.046210289001465]
['CV', 144, 'UV', 43, 'who', 'sdiff', 'V3', 'V3', 0.17115177610333698, 0.05158734321594238]
['UV', 84, 'CV', 240, 'ar', 'link', 'V0', 'V0', 0.9366952789699571, 1.0255870819091797]
['BV', 59, 'CV', 278, 'make', 'mkfifo', 'V1', 'V1', 0.8385818561001043, 0.20284533500671387]
['BV', 15, 'CV', 213, 'libvlccore.so', 'whoami', 'V3', 'V0', 0.9651039149347511, 4.023777723312378]
['CV', 240, 'BV', 48, 'link', 'gvmap', 'V0', 'V3', 0.7841638642616937, 0.12967610359191895]
['CV', 143, 'UV', 82, 'yes', 'gprof', 'V3', 'V0', 0.8992447648472365, 1.2055528163909912]
['CV', 124, 'UV', 78, 'seq', 'c++filt', 'V3', 'V0', 0.8597498842056508, 1.149524211883545]
['BV', 40, 'CV', 152, 'lua', 'env', 'V2', 'V3', 0.8164539007092199, 0.39875173568725586]
['UV', 45, 'CV', 186, 'cmp', 'stty', 'V1', 'V0', 0.16055045871559637, 0.032335519790649414]
['CV', 221, 'BV', 15, 'od', 'libvlccore.so', 'V0', 'V3', 0.9405307369224895, 4.517089366912842]
['CV', 26, 'UV', 29, 'date', 'objcopy', 'V2', 'V3', 0.8899150901236407, 1.626805305480957]
['BV', 24, 'CV', 223, 'git', 'tsort', 'V0', 'V0', 0.9767720828789531, 4.174466371536255]
['CV', 214, 'UV', 80, 'ls', 'objcopy', 'V0', 'V0', 0.8210880153666735, 1.966092824935913]
['UV', 4, 'CV', 100, 'cmp', 'join', 'V2', 'V3', 0.15322580645161288, 0.04310750961303711]
['UV', 12, 'CV', 260, 'c++filt', 'ln', 'V2', 'V0', 0.8967952199891364, 1.0642814636230469]
['CV', 184, 'BV', 41, 'ptx', 'libvlccore.so', 'V0', 'V1', 0.8666322047040579, 4.190114974975586]
['UV', 2, 'CV', 145, 'find', 'readlink', 'V2', 'V3', 0.6249705535924617, 0.20014333724975586]
['CV', 281, 'BV', 15, 'tee', 'libvlccore.so', 'V1', 'V3', 0.9581948658671675, 4.416887998580933]
['CV', 211, 'BV', 54, 'seq', 'lua', 'V0', 'V3', 0.886348076133096, 0.4740009307861328]
['UV', 10, 'CV', 34, 'as', 'echo', 'V2', 'V2', 0.9472644906493205, 1.9474427700042725]
['BV', 31, 'CV', 147, 'codeblocks', 'hostid', 'V0', 'V3', 0.9683574012204214, 11.530289888381958]
['CV', 7, 'BV', 49, 'dir', 'make', 'V2', 'V3', 0.49402891263356374, 0.44436120986938477]
['CV', 151, 'BV', 35, 'md5sum', 'libvlccore.so', 'V3', 'V2', 0.9283096110820203, 4.759159564971924]
['CV', 196, 'UV', 43, 'kill', 'sdiff', 'V0', 'V3', 0.40555555555555556, 0.03610062599182129]
['BV', 3, 'CV', 276, 'diff', 'uptime', 'V1', 'V1', 0.5936587400917814, 0.07473397254943848]
['BV', 29, 'CV', 37, 'perl', 'seq', 'V3', 'V2', 0.956247340802723, 2.908703327178955]
['CV', 107, 'BV', 57, 'tee', 'svn', 'V3', 'V2', 0.7375661375661375, 0.5298659801483154]
['BV', 66, 'CV', 321, 'lua', 'hostid', 'V1', 'V1', 0.8870056497175142, 0.330035924911499]
['BV', 7, 'CV', 86, 'libSDL2-2.0.so', 'ln', 'V0', 'V2', 0.8807767778604777, 3.752358913421631]
['CV', 89, 'UV', 4, 'unlink', 'cmp', 'V3', 'V2', 0.19259259259259265, 0.03094482421875]
['BV', 38, 'CV', 239, 'ruby', 'env', 'V2', 'V0', 0.5846501128668171, 0.0058841705322265625]
['BV', 44, 'UV', 56, 'make', 'c++filt', 'V0', 'V1', 0.45641166005200495, 2.3604180812835693]
['BV', 78, 'CV', 201, 'make', 'expr', 'V2', 'V0', 0.5617058311575283, 0.2693932056427002]
['UV', 47, 'CV', 16, 'sdiff', 'dd', 'V1', 'V2', 0.11693548387096775, 0.05663895606994629]
['CV', 172, 'UV', 11, 'mknod', 'ranlib', 'V3', 'V2', 0.8862837045720985, 1.3892056941986084]
['CV', 170, 'BV', 17, 'tac', 'codeblocks', 'V3', 'V2', 0.9576275658276608, 15.25210452079773]
['CV', 69, 'BV', 31, 'csplit', 'codeblocks', 'V2', 'V0', 0.9175812352055089, 17.301411628723145]
['UV', 72, 'CV', 55, 'find', 'nohup', 'V0', 'V2', 0.6518495492695058, 0.1354215145111084]
['BV', 77, 'UV', 44, 'perl', 'diff3', 'V2', 'V1', 0.9365506633339742, 2.8381264209747314]
['BV', 73, 'CV', 183, 'geany', 'users', 'V0', 'V0', 0.9802997858672376, 18.01070785522461]
['CV', 260, 'UV', 78, 'ln', 'c++filt', 'V0', 'V0', 0.8925339366515838, 1.0891358852386475]
['UV', 76, 'CV', 15, 'as', 'uptime', 'V0', 'V2', 0.9221546062541424, 1.8406922817230225]
['UV', 55, 'CV', 264, 'ranlib', 'test', 'V1', 'V1', 0.9211439208054827, 1.1608788967132568]
['BV', 64, 'CV', 244, 'openssl', 'vdir', 'V2', 'V0', 0.8569402007856831, 6.264435052871704]
['CV', 296, 'BV', 3, 'sum', 'diff', 'V1', 'V1', 0.5863787375415282, 0.08165812492370605]
['BV', 30, 'UV', 55, 'bash', 'ranlib', 'V0', 'V1', 0.2776880852437843, 6.1760149002075195]
['BV', 49, 'CV', 1, 'make', 'stat', 'V3', 'V2', 0.7734651987311065, 0.26035547256469727]
['CV', 113, 'UV', 37, 'date', 'locate', 'V3', 'V3', 0.30558125192722785, 0.15046119689941406]
['CV', 98, 'UV', 4, 'printenv', 'cmp', 'V3', 'V2', 0.19878603945371776, 0.030313730239868164]
['UV', 12, 'CV', 174, 'c++filt', 'touch', 'V2', 'V0', 0.890804079054237, 1.1031386852264404]
['CV', 259, 'UV', 87, 'mknod', 'objdump', 'V0', 'V0', 0.9444259345638701, 1.7758393287658691]
['CV', 127, 'UV', 80, 'ls', 'objcopy', 'V3', 'V0', 0.723080919599948, 2.3084263801574707]
['BV', 74, 'CV', 69, 'git', 'csplit', 'V1', 'V2', 0.9298743505824731, 6.16277003288269]
['CV', 222, 'BV', 69, 'df', 'gvmap', 'V0', 'V0', 0.5652173913043478, 0.1415412425994873]
['UV', 1, 'BV', 37, 'xargs', 'geany', 'V2', 'V1', 0.9507683991041779, 31.5995032787323]
['UV', 48, 'CV', 124, 'locate', 'seq', 'V1', 'V3', 0.42835249042145596, 0.08128881454467773]
['UV', 44, 'CV', 82, 'diff3', 'sort', 'V1', 'V2', 0.23658818988807406, 0.08443117141723633]
['CV', 163, 'BV', 77, 'comm', 'perl', 'V3', 'V2', 0.9509297520661157, 3.1628997325897217]
['CV', 234, 'UV', 10, 'hostid', 'as', 'V0', 'V2', 0.9592122947466838, 2.1162116527557373]
['UV', 33, 'CV', 180, 'ar', 'fmt', 'V3', 'V0', 0.9244105409153953, 1.1517682075500488]
['CV', 162, 'BV', 68, 'tr', 'dot', 'V3', 'V0', 0.5625615763546798, 0.019380807876586914]
['CV', 207, 'UV', 35, 'sync', 'size', 'V0', 'V3', 0.936748659145552, 1.1379365921020508]
['CV', 34, 'BV', 33, 'echo', 'openssl', 'V2', 'V0', 0.9785975250441956, 7.646078586578369]
['UV', 44, 'BV', 62, 'diff3', 'diff', 'V1', 'V0', 0.12421242124212417, 0.06987786293029785]
['UV', 51, 'CV', 269, 'nm', 'du', 'V1', 'V1', 0.8170141784820684, 1.2415771484375]
['CV', 99, 'BV', 41, 'stty', 'libvlccore.so', 'V3', 'V1', 0.9063506308398881, 3.9092140197753906]
['CV', 30, 'UV', 59, 'pinky', 'ld', 'V2', 'V1', 0.9186081878459761, 2.200512409210205]
['BV', 45, 'CV', 287, 'svn', 'date', 'V3', 'V1', 0.8214434710054235, 0.7346808910369873]
['CV', 256, 'BV', 42, 'sort', 'libvlc.so', 'V0', 'V1', 0.6454127523485909, 0.39281702041625977]
['CV', 254, 'BV', 70, 'uniq', 'ssh', 'V0', 'V0', 0.9626943005181348, 4.487428188323975]
['BV', 75, 'CV', 257, 'cmp', 'tac', 'V2', 'V0', 0.23684210526315785, 0.05023360252380371]
['UV', 36, 'CV', 221, 'objdump', 'od', 'V3', 'V0', 0.9275834011391375, 2.096952199935913]
['CV', 228, 'UV', 81, 'false', 'ld', 'V0', 'V0', 0.9576907868722815, 1.733595848083496]
['CV', 128, 'UV', 27, 'nice', 'c++filt', 'V3', 'V3', 0.8886749197615773, 1.2101306915283203]
['CV', 62, 'BV', 14, 'unexpand', 'openssl', 'V2', 'V3', 0.94549156790059, 7.5435967445373535]
['BV', 55, 'CV', 161, 'codeblocks', 'pathchk', 'V3', 'V3', 0.9650691340056139, 12.951444864273071]
['CV', 208, 'UV', 29, 'echo', 'objcopy', 'V0', 'V3', 0.9467546417063066, 1.4515259265899658]
['BV', 4, 'CV', 40, 'geany', 'ls', 'V3', 'V2', 0.9448726054785626, 32.37873554229736]
['UV', 85, 'BV', 44, 'elfedit', 'make', 'V0', 'V0', 0.7126534066864155, 0.23941659927368164]
['UV', 30, 'CV', 29, 'ld', 'tail', 'V3', 'V2', 0.8824355150026321, 2.310739755630493]
['CV', 219, 'BV', 61, 'cp', 'cmp', 'V0', 'V0', 0.5157318741450069, 0.036310672760009766]
['UV', 11, 'CV', 40, 'ranlib', 'ls', 'V2', 'V2', 0.7525436893203884, 1.507638692855835]
['BV', 78, 'CV', 53, 'make', 'tty', 'V2', 'V2', 0.8085449415558242, 0.21812105178833008]
['UV', 7, 'CV', 21, 'nm', 'chgrp', 'V2', 'V2', 0.8304826418289585, 1.2294771671295166]
['CV', 279, 'UV', 33, 'pwd', 'ar', 'V1', 'V3', 0.9204152249134948, 1.292330265045166]
['CV', 232, 'UV', 13, 'readlink', 'strings', 'V0', 'V2', 0.9240367975225431, 1.1773974895477295]
['UV', 75, 'CV', 222, 'readelf', 'df', 'V0', 'V0', 0.5973003374578177, 0.1109623908996582]
['BV', 31, 'CV', 10, 'codeblocks', 'ptx', 'V0', 'V2', 0.9101310254280431, 12.552384376525879]
['CV', 304, 'BV', 35, 'chmod', 'libvlccore.so', 'V1', 'V2', 0.9197990235578518, 4.907057523727417]
['CV', 45, 'UV', 24, 'cp', 'readelf', 'V2', 'V3', 0.5417673918882622, 0.47016239166259766]
['BV', 76, 'CV', 255, 'diff', 'sleep', 'V2', 'V0', 0.7034772640427971, 0.08465242385864258]
['CV', 121, 'UV', 59, 'echo', 'ld', 'V3', 'V1', 0.9303506946569557, 2.031442165374756]
['CV', 95, 'UV', 51, 'du', 'nm', 'V3', 'V1', 0.7101381042059008, 1.7619667053222656]
['CV', 202, 'UV', 63, 'chown', 'elfedit', 'V0', 'V1', 0.1395027624309393, 0.03641343116760254]
['UV', 2, 'CV', 31, 'find', 'sha1sum', 'V2', 'V2', 0.711519364448858, 0.18459630012512207]
['CV', 99, 'BV', 66, 'stty', 'lua', 'V3', 'V1', 0.7429730512894813, 0.4552156925201416]
['BV', 11, 'CV', 232, 'bash', 'readlink', 'V1', 'V0', 0.9606603773584905, 2.610056161880493]
['UV', 68, 'CV', 274, 'diff', 'join', 'V0', 'V1', 0.5080931701539676, 0.07983088493347168]
['CV', 31, 'BV', 2, 'sha1sum', 'cmp', 'V2', 'V1', 0.14114114114114118, 0.03194904327392578]
['UV', 41, 'BV', 82, 'cmp', 'gvmap', 'V3', 'V1', 0.5928045789043336, 0.16789603233337402]
['CV', 254, 'UV', 70, 'uniq', 'locate', 'V0', 'V0', 0.49338374291115317, 0.06917881965637207]
['BV', 74, 'CV', 154, 'git', 'uname', 'V1', 'V3', 0.9725367268644147, 5.529423475265503]
['UV', 1, 'CV', 235, 'xargs', 'ginstall', 'V2', 'V0', 0.0835341365461848, 0.0897066593170166]
['CV', 328, 'UV', 75, 'uname', 'readelf', 'V1', 'V0', 0.7727840199750312, 0.09053468704223633]
['CV', 344, 'UV', 15, 'tac', 'ld', 'V1', 'V2', 0.856186898332942, 2.4066009521484375]
['UV', 64, 'CV', 328, 'size', 'uname', 'V1', 'V1', 0.9344085052707451, 1.0397906303405762]
['BV', 58, 'CV', 310, 'ruby', 'tsort', 'V3', 'V1', 0.6521739130434783, 0.0072209835052490234]
['CV', 42, 'UV', 1, 'dircolors', 'xargs', 'V2', 'V2', 0.3995609220636662, 0.04914999008178711]
['UV', 55, 'BV', 55, 'ranlib', 'codeblocks', 'V1', 'V3', 0.541337781756042, 45.352736949920654]
['BV', 72, 'CV', 76, 'perl', 'comm', 'V1', 'V2', 0.960042550362343, 2.6096460819244385]
['UV', 4, 'CV', 180, 'cmp', 'fmt', 'V2', 'V0', 0.2730318257956449, 0.02744603157043457]
['BV', 82, 'CV', 315, 'gvmap', 'false', 'V1', 'V1', 0.7961194949183862, 0.11924290657043457]
['CV', 270, 'UV', 20, 'users', 'size', 'V1', 'V2', 0.9192283421977824, 1.2080113887786865]
['BV', 19, 'CV', 56, 'cp', 'yes', 'V3', 'V2', 0.6366521221737406, 0.07853960990905762]
['CV', 3, 'BV', 59, 'test', 'make', 'V2', 'V1', 0.766426282051282, 0.24629712104797363]
['CV', 63, 'BV', 32, 'mv', 'perl', 'V2', 'V0', 0.8682385019447452, 3.7956814765930176]
['CV', 105, 'UV', 79, 'pwd', 'strings', 'V3', 'V0', 0.8690157734526335, 1.163665533065796]
['CV', 17, 'BV', 63, 'mkfifo', 'ruby', 'V2', 'V0', 0.9800825552037831, 12.345855951309204]
['UV', 8, 'CV', 236, 'strip', 'unexpand', 'V2', 'V0', 0.9383644016837042, 1.3309745788574219]
['CV', 319, 'BV', 61, 'readlink', 'cmp', 'V1', 'V0', 0.13043478260869568, 0.014482975006103516]
['CV', 247, 'UV', 67, 'shred', 'cmp', 'V0', 'V0', 0.06976744186046513, 0.03995108604431152]
['BV', 69, 'CV', 156, 'gvmap', 'csplit', 'V0', 'V3', 0.4511991076408255, 0.14153456687927246]
['BV', 8, 'UV', 80, 'cluster', 'objcopy', 'V2', 'V0', 0.6574212893553223, 2.59535813331604]
['BV', 4, 'CV', 222, 'geany', 'df', 'V3', 'V0', 0.9751483808267676, 29.864052772521973]
['BV', 54, 'CV', 273, 'lua', 'stty', 'V3', 'V1', 0.847887323943662, 0.4484691619873047]
['UV', 13, 'CV', 182, 'strings', 'du', 'V2', 'V0', 0.8175873343658578, 1.2099969387054443]
['UV', 48, 'CV', 186, 'locate', 'stty', 'V1', 'V0', 0.5417185554171855, 0.07484579086303711]
['BV', 38, 'CV', 260, 'ruby', 'ln', 'V2', 'V0', 0.7220543806646526, 0.009818077087402344]
['CV', 22, 'UV', 32, 'kill', 'addr2line', 'V2', 'V3', 0.9012840360622895, 1.2151768207550049]
['UV', 19, 'CV', 51, 'elfedit', 'printf', 'V2', 'V2', 0.1338028169014085, 0.032773733139038086]
['CV', 221, 'BV', 10, 'od', 'gvmap', 'V0', 'V2', 0.6495195025438101, 0.15499234199523926]
['CV', 168, 'UV', 75, 'sleep', 'readelf', 'V3', 'V0', 0.6488991888760139, 0.10613870620727539]
['UV', 45, 'CV', 164, 'cmp', 'nl', 'V1', 'V3', 0.10615280594996623, 0.03669881820678711]
['CV', 85, 'UV', 80, 'mknod', 'objcopy', 'V2', 'V0', 0.9228873749818814, 1.5097668170928955]
['BV', 0, 'UV', 2, 'bash', 'find', 'V2', 'V2', 0.7275744882636529, 3.9554076194763184]
['BV', 3, 'CV', 160, 'diff', 'shred', 'V1', 'V3', 0.2498369210697977, 0.1142416000366211]
['BV', 11, 'CV', 323, 'bash', 'unexpand', 'V1', 'V1', 0.9602905112242973, 2.6225452423095703]
['CV', 123, 'BV', 37, 'chroot', 'geany', 'V3', 'V1', 0.9697064213029748, 28.272060871124268]
['BV', 75, 'CV', 109, 'cmp', 'kill', 'V2', 'V3', 0.13300492610837433, 0.03546762466430664]
['UV', 74, 'CV', 264, 'strip', 'test', 'V0', 'V1', 0.9321293329449462, 1.3449392318725586]
['UV', 38, 'CV', 58, 'xargs', 'readlink', 'V3', 'V2', 0.353329944077275, 0.07172870635986328]
['CV', 299, 'UV', 20, 'split', 'size', 'V1', 'V2', 0.905656999641962, 1.2520313262939453]
['CV', 277, 'UV', 5, 'dd', 'diff', 'V1', 'V2', 0.4775429326287979, 0.12306618690490723]
['UV', 35, 'CV', 219, 'size', 'cp', 'V3', 'V0', 0.8086355785837651, 1.2087059020996094]
['UV', 3, 'CV', 241, 'diff3', 'uname', 'V2', 'V0', 0.475482912332838, 0.029294967651367188]
['CV', 298, 'BV', 38, 'seq', 'ruby', 'V1', 'V2', 0.6461538461538462, 0.009446382522583008]
['CV', 175, 'BV', 34, 'stat', 'svn', 'V0', 'V0', 0.7962781586679726, 0.44500279426574707]
['BV', 57, 'CV', 320, 'svn', 'head', 'V2', 'V1', 0.8006583760058522, 0.42606043815612793]
['CV', 319, 'UV', 53, 'readlink', 'readelf', 'V1', 'V1', 0.750291715285881, 0.10274577140808105]
['CV', 344, 'UV', 11, 'tac', 'ranlib', 'V1', 'V2', 0.8037959477856971, 1.5688412189483643]
['BV', 40, 'UV', 41, 'lua', 'cmp', 'V2', 'V3', 0.789208834218619, 0.4200911521911621]
['CV', 268, 'BV', 40, 'dir', 'lua', 'V1', 'V2', 0.6597392539047373, 0.6123754978179932]
['CV', 64, 'UV', 77, 'md5sum', 'ranlib', 'V2', 'V0', 0.8971708855215906, 1.238239049911499]
['UV', 36, 'BV', 27, 'objdump', 'libSDL2-2.0.so', 'V3', 'V1', 0.18849840255591055, 17.61513876914978]
['UV', 32, 'CV', 275, 'addr2line', 'dirname', 'V3', 'V1', 0.9286836027713626, 1.062739610671997]
['CV', 297, 'BV', 13, 'chroot', 'cp', 'V1', 'V2', 0.6387959866220736, 0.06609439849853516]
['BV', 57, 'CV', 330, 'svn', 'csplit', 'V2', 'V1', 0.5577984545024444, 0.5372226238250732]
['CV', 140, 'UV', 47, 'tty', 'sdiff', 'V3', 'V1', 0.295526149968494, 0.03925347328186035]
['CV', 39, 'BV', 16, 'whoami', 'libvlc.so', 'V2', 'V3', 0.8127297349584058, 0.4259185791015625]
['BV', 65, 'CV', 107, 'ssh', 'tee', 'V1', 'V3', 0.9501729643427355, 4.375708341598511]
['CV', 101, 'UV', 51, 'dirname', 'nm', 'V3', 'V1', 0.8998866312025813, 1.2533037662506104]
['CV', 333, 'BV', 29, 'id', 'perl', 'V1', 'V3', 0.9672680596163445, 3.209089517593384]
['CV', 203, 'UV', 43, 'tail', 'sdiff', 'V0', 'V3', 0.18317972350230416, 0.04619002342224121]
['CV', 143, 'BV', 16, 'yes', 'libvlc.so', 'V3', 'V3', 0.7790852154108939, 0.4435398578643799]
['UV', 85, 'CV', 238, 'elfedit', 'md5sum', 'V0', 'V0', 0.18135593220338986, 0.027907133102416992]
['CV', 31, 'BV', 61, 'sha1sum', 'cmp', 'V2', 'V0', 0.2491978609625669, 0.019409894943237305]
['BV', 6, 'CV', 139, 'libvlc.so', 'logname', 'V0', 'V3', 0.7297937899976298, 0.2686483860015869]
['UV', 15, 'CV', 315, 'ld', 'false', 'V2', 'V1', 0.9588676206405253, 1.8213307857513428]
['CV', 257, 'UV', 29, 'tac', 'objcopy', 'V0', 'V3', 0.8248112189859763, 1.7957663536071777]
['UV', 74, 'BV', 43, 'strip', 'lua', 'V0', 'V0', 0.4123343798222743, 2.6217172145843506]
['CV', 294, 'BV', 31, 'sync', 'codeblocks', 'V1', 'V0', 0.98038725449343, 12.683894634246826]
['CV', 129, 'BV', 10, 'dircolors', 'gvmap', 'V3', 'V2', 0.6016438356164383, 0.16451406478881836]
['CV', 52, 'BV', 63, 'logname', 'ruby', 'V2', 'V0', 0.9807969852469531, 12.377915382385254]
['UV', 68, 'CV', 26, 'diff', 'date', 'V0', 'V2', 0.4420536051340128, 0.08864831924438477]
['UV', 1, 'CV', 112, 'xargs', 'expand', 'V2', 'V3', 0.2975708502024291, 0.054944753646850586]
['UV', 58, 'CV', 299, 'objcopy', 'split', 'V1', 'V1', 0.9264736658528078, 1.485353708267212]
['UV', 50, 'CV', 19, 'find', 'pr', 'V1', 'V2', 0.6015642972164711, 0.2052474021911621]
['BV', 71, 'CV', 251, 'ruby', 'nl', 'V1', 'V0', 0.8574748257164988, 0.019939184188842773]
['UV', 27, 'CV', 69, 'c++filt', 'csplit', 'V3', 'V2', 0.7409974640743872, 1.2483253479003906]
['CV', 41, 'BV', 80, 'nice', 'cluster', 'V2', 'V1', 0.687960687960688, 0.13826990127563477]
['BV', 60, 'CV', 224, 'codeblocks', 'cksum', 'V1', 'V0', 0.9801199286910486, 11.786006927490234]
['CV', 32, 'UV', 56, 'paste', 'c++filt', 'V2', 'V1', 0.9091237579042457, 1.1401963233947754]
['BV', 19, 'UV', 82, 'cp', 'gprof', 'V3', 'V0', 0.6902803168799513, 1.8214802742004395]
['CV', 181, 'UV', 75, 'dir', 'readelf', 'V0', 'V0', 0.38039026740544446, 0.1795504093170166]
['BV', 1, 'CV', 16, 'libSDL2-2.0.so', 'dd', 'V3', 'V2', 0.913062862238074, 6.595864534378052]
['UV', 69, 'CV', 317, 'sdiff', 'yes', 'V0', 'V1', 0.48363636363636364, 0.031146764755249023]
['UV', 4, 'CV', 250, 'cmp', 'comm', 'V2', 'V0', 0.2563891178895301, 0.02829456329345703]
['CV', 321, 'UV', 16, 'hostid', 'gprof', 'V1', 'V2', 0.9390914474240758, 1.249133825302124]
['CV', 282, 'UV', 12, 'chgrp', 'c++filt', 'V1', 'V2', 0.8592599165853225, 1.3112263679504395]
['CV', 121, 'BV', 51, 'echo', 'cp', 'V3', 'V0', 0.33452593917710205, 0.043387651443481445]
['UV', 63, 'CV', 170, 'elfedit', 'tac', 'V1', 'V3', 0.15818058384249833, 0.035857200622558594]
['CV', 345, 'BV', 19, 'rmdir', 'cp', 'V1', 'V3', 0.6882160392798691, 0.0848534107208252]
['CV', 218, 'BV', 14, 'true', 'openssl', 'V0', 'V3', 0.9661249472351203, 7.5322043895721436]
['CV', 262, 'UV', 23, 'stat', 'strip', 'V1', 'V3', 0.9227097067515344, 1.5650420188903809]
['CV', 139, 'BV', 30, 'logname', 'bash', 'V3', 'V0', 0.9428543131623255, 2.6974189281463623]
['UV', 43, 'CV', 240, 'sdiff', 'link', 'V3', 'V0', 0.48533724340175954, 0.031374454498291016]
['BV', 79, 'UV', 53, 'bash', 'readelf', 'V3', 'V1', 0.7670280141430625, 3.52828311920166]
['UV', 59, 'CV', 254, 'ld', 'uniq', 'V1', 'V0', 0.9337829552421827, 1.7160184383392334]
['CV', 12, 'UV', 19, 'stty', 'elfedit', 'V2', 'V2', 0.13884992987377276, 0.030351638793945312]
['CV', 148, 'UV', 21, 'ginstall', 'objdump', 'V3', 'V2', 0.7290383704405495, 2.7684988975524902]
['BV', 33, 'CV', 173, 'openssl', 'ln', 'V0', 'V3', 0.934147465437788, 7.062507390975952]
['CV', 279, 'UV', 72, 'pwd', 'find', 'V1', 'V0', 0.7049180327868853, 0.13326025009155273]
['CV', 195, 'UV', 78, 'chgrp', 'c++filt', 'V0', 'V0', 0.8630289532293987, 1.0611038208007812]
['CV', 65, 'UV', 72, 'env', 'find', 'V2', 'V0', 0.705844572896596, 0.13163065910339355]
['BV', 50, 'CV', 233, 'sort', 'head', 'V0', 'V0', 0.26424159231297184, 0.03000640869140625]
['CV', 168, 'UV', 16, 'sleep', 'gprof', 'V3', 'V2', 0.89861674811563, 1.270833969116211]
['UV', 56, 'BV', 5, 'c++filt', 'libvlccore.so', 'V1', 'V0', 0.26636720546104065, 10.2131187915802]
